Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Shadows: Heretic Kingdoms,Games Farm ,Kalypso Media Digital ,Sim,273,Mixed,1,Sim,Não,20 Nov 2014,6,2,6,outros,6,GEFORCE-560,5,"79,00"
Catch & Release,metricminds GmbH & Co KG ,Advanced Interactive Gaming Ltd. ,Não,266,Very Positive,1,Não,Não,7 Jun 2018,9,9,9,outros,8,NVIDIA-GTX-1070,1,"37,99"
Symphonic Rain,KOGADO STUDIO ,Degica ,Não,360,Very Positive,1,Não,Não,14 Jun 2017,5,1,5,,,,,"72,99"
Starpoint Gemini 2,Little Green Men Games ,Little Green Men Games ,Não,2874,Mostly Positive,1,Sim,Não,26 Sep 2014,5,2,5,outros,4,outros,8,"63,99"
The Metronomicon: Slay The Dance Floor,Puuba ,Akupara Games ,Sim,228,Very Positive,2,Sim,Sim,29 Sep 2016,8,0,0,,,,,"36,99"
The Witch & The 66 Mushrooms,"Gotcha Gotcha Games, KADOKAWA ",PLAYISM ,Não,30,Positive,1,Sim,Não,7 Nov 2020,2,0,2,,,,,"14,49"
Ghost of Tomorrow,Ed Lioni ,Ed Lioni ,Sim,10,Mostly Positive,1,Sim,Não,25 May 2020,1,1,0,outros,0.008,outros,2,"6,49"
Super Blood Hockey,Loren Lemcke ,Loren Lemcke ,Sim,510,Very Positive,3,Sim,Sim,17 Aug 2017,1,0,0,,,,,"28,99"
Touhou Seirensen ~ Undefined Fantastic Object.,上海アリス幻樂団 ,"Mediascape Co., Ltd. ",Sim,71,Very Positive,1,Sim,Não,15 Aug 2009,2,0,1,,2.048,,,"28,99"
Star Shelter,Overflow ,Overflow ,Não,306,Very Positive,1,Não,Não,12 Oct 2017,1,1,0,,,,,"37,99"
King's Bounty: The Legend,1C Entertainment ,1C Entertainment ,Não,1590,Very Positive,2,Sim,Não,23 Sep 2008,11,0,11,,,,,"13,99"
